Group,Age,Mid-1961,Mid-1962,Mid-1963,Mid-1964,Mid-1965,Mid-1966,Mid-1967,Mid-1968,Mid-1969,Mid-1970,Mid-1971,Mid-1972,Mid-1973,Mid-1974,Mid-1975,Mid-1976,Mid-1977,Mid-1978,Mid-1979,Mid-1980,Mid-1981,Mid-1982,Mid-1983,Mid-1984,Mid-1985,Mid-1986,Mid-1987,Mid-1988,Mid-1989,Mid-1990,Mid-1991,Mid-1992,Mid-1993,Mid-1994,Mid-1995,Mid-1996,Mid-1997,Mid-1998,Mid-1999,Mid-2000,Mid-2001,Mid-2002,Mid-2003,Mid-2004,Mid-2005,Mid-2006,Mid-2007,Mid-2008,Mid-2009,Mid-2010,Mid-2011,Mid-2012,Mid-2013,Mid-2014
Males,All Ages,"22,347,000","22,631,300","22,786,700","22,978,500","23,150,700","23,295,800","23,451,100","23,553,500","23,666,200","23,738,100","23,897,000","23,988,600","24,060,500","24,074,500","24,091,400","24,089,100","24,076,200","24,067,300","24,113,100","24,155,500","24,160,100","24,119,499","24,133,341","24,184,694","24,254,346","24,311,228","24,370,607","24,433,525","24,509,732","24,596,790","24,681,337","24,739,461","24,792,642","24,853,043","24,946,334","25,029,777","25,113,194","25,200,700","25,323,441","25,438,046","25,574,258","25,708,118","25,854,109","26,012,115","26,234,398","26,433,350","26,669,068","26,914,321","27,121,680","27,372,737","27,637,637","27,843,384","28,049,196","28,294,511"
Males,0,"402,400","416,900","423,500","430,200","432,500","426,600","422,300","409,100","408,100","393,200","401,500","376,500","355,000","327,500","314,600","300,100","287,000","291,400","317,200","327,900","324,496","317,663","319,126","318,415","332,006","335,478","339,152","350,008","346,722","349,254","355,690","355,162","342,554","342,980","332,065","326,779","332,858","323,385","320,558","310,695","300,956","301,650","311,829","322,654","327,191","335,606","346,762","360,134","357,124","362,310","366,537","374,930","364,958","357,644"
Males,1,"382,800","401,700","414,500","420,900","429,600","432,700","424,100","422,200","406,600","404,900","389,400","398,700","375,600","352,500","325,500","312,600","298,500","286,200","290,400","315,600","326,299","322,121","316,799","319,016","318,033","332,462","334,695","337,967","349,486","345,670","348,360","354,799","353,622","341,208","342,010","331,344","326,837","331,961","323,615","318,932","309,629","301,593","302,325","311,879","322,159","326,684","337,182","346,927","359,574","356,537","360,920","369,103","377,591","368,150"
Males,2,"374,500","383,400","401,700","412,700","420,000","430,200","431,500","423,100","421,000","403,800","406,400","388,500","397,600","373,800","351,000","324,200","311,200","297,900","286,000","290,400","315,500","325,721","321,642","317,056","319,181","318,350","332,802","334,875","338,225","349,337","345,897","348,349","354,728","353,170","341,410","341,434","330,882","327,422","332,063","322,923","317,683","310,486","303,249","303,154","311,945","321,601","327,486","338,370","347,287","360,286","356,593","363,267","371,703","380,486"
Males,3,"366,100","375,900","384,100","401,400","412,500","419,800","429,200","431,000","422,100","418,700","409,400","405,200","387,700","396,300","372,100","349,800","322,700","310,800","297,800","285,600","290,199","314,755","325,342","321,976","318,098","320,652","319,717","334,033","336,206","339,318","350,850","346,154","348,519","355,058","353,157","341,753","341,016","330,902","328,304","331,697","322,828","318,775","312,220","304,972","303,712","311,761","322,196","327,589","339,520","348,488","361,239","358,683","365,425","374,507"
Males,4,"352,100","367,900","377,000","384,200","400,300","412,600","419,900","428,900","429,900","419,600","420,900","408,100","404,100","386,900","395,900","371,000","348,400","322,500","310,700","297,300","285,600","289,576","314,408","325,682","322,998","320,084","321,227","320,089","334,509","336,593","340,177","350,428","345,828","348,897","355,666","353,375","341,728","340,350","331,069","329,024","331,349","324,180","320,895","314,157","306,341","303,996","312,551","322,061","327,578","341,396","350,034","363,089","360,834","368,032"
Males,5,"339,500","355,000","368,400","376,900","383,000","399,800","410,200","417,800","426,100","425,300","414,900","421,000","406,800","402,200","385,700","395,100","369,500","347,400","322,200","310,200","297,298","284,869","289,252","314,738","326,785","324,388","320,611","321,438","320,335","334,742","337,058","340,091","350,636","346,234","349,351","356,561","353,504","342,222","340,570","331,113","329,360","333,437","326,102","322,778","314,889","307,247","304,654","312,651","322,352","327,825","342,815","351,775","364,949","363,278"
Males,6,"331,600","342,800","356,800","368,600","376,400","381,800","397,600","409,100","416,500","423,700","424,800","414,100","420,000","405,100","401,300","385,600","394,300","368,900","347,100","321,200","309,898","296,799","284,638","289,563","315,654","327,972","324,954","320,995","322,267","321,046","335,608","336,822","340,012","350,710","346,880","350,397","356,903","353,572","342,720","339,743","330,738","331,486","335,337","327,717","323,646","315,844","308,667","305,271","313,104","322,431","328,076","344,238","353,388","366,804"
Males,7,"336,600","334,000","345,000","357,600","368,100","374,900","380,100","397,500","408,500","414,100","424,200","425,200","413,900","418,700","403,800","400,500","385,500","394,000","368,800","346,500","320,998","309,239","296,599","284,920","290,378","316,532","328,634","325,308","321,271","322,473","321,684","335,847","336,537","340,331","351,055","347,410","350,678","357,263","353,592","342,615","338,380","332,287","333,713","337,185","328,630","324,833","317,411","310,106","306,203","313,371","322,384","329,541","345,749","355,224"
Males,8,"333,100","340,200","334,900","346,100","357,900","366,800","373,500","380,400","397,400","406,400","411,600","424,900","426,200","413,700","417,400","402,700","400,000","385,600","394,100","368,100","346,197","320,504","309,078","296,961","285,831","291,264","317,024","328,873","326,005","321,763","323,130","322,012","336,296","336,616","340,850","351,506","347,592","351,275","358,208","353,261","342,364","340,325","333,835","335,836","337,953","329,818","326,597","319,009","311,859","306,932","313,670","323,780","331,031","347,486"
Males,9,"331,600","335,200","342,500","335,600","346,400","355,200","365,800","374,200","380,900","395,900","403,500","412,100","425,900","425,900","413,900","416,400","402,000","399,700","386,100","394,000","367,599","345,465","320,307","309,448","297,722","286,803","291,766","317,327","328,933","326,104","322,484","322,703","322,282","336,796","336,590","341,421","351,558","347,913","351,972","358,612","352,860","343,370","342,130","335,244","337,199","339,168","331,394","328,232","320,771","313,351","307,653","315,051","325,128","332,653"
Males,10,"338,900","332,500","338,200","345,100","336,400","344,400","353,800","366,300","374,300","380,200","397,300","404,300","412,900","426,500","426,700","414,300","415,800","401,800","399,700","386,700","391,998","366,898","345,229","320,452","310,233","298,341","286,978","291,810","317,518","329,499","326,496","321,923","322,034","323,014","337,786","336,962","341,716","351,796","348,552","352,561","359,135","353,809","345,082","343,840","337,041","338,718","341,052","332,653","330,379","322,710","314,994","309,199","316,394","326,681"
Males,11,"352,400","341,300","332,100","338,300","344,900","334,600","343,000","355,200","367,000","374,900","383,600","397,300","405,300","413,600","427,100","426,900","415,100","415,600","402,000","399,400","386,797","390,348","366,597","345,331","321,488","311,515","299,094","287,383","292,479","318,116","330,257","326,726","322,029","322,254","323,878","338,955","337,337","342,435","352,731","348,906","353,308","360,151","354,843","346,017","346,012","338,047","340,718","342,408","334,742","332,448","324,515","316,550","310,660","318,061"
Males,12,"368,500","353,200","342,400","330,700","337,800","342,000","333,300","344,600","356,600","367,500","374,000","383,900","398,000","405,900","414,500","427,400","427,800","416,300","415,600","401,700","399,498","385,595","388,896","366,652","345,880","322,136","311,766","299,415","287,638","292,768","318,650","329,988","326,623","322,006","322,322","324,825","339,510","337,622","343,142","352,880","349,384","353,466","361,222","354,740","347,143","347,161","339,473","342,325","344,547","336,703","334,301","325,884","318,034","312,413"
Males,13,"400,500","369,400","352,700","341,900","329,700","336,300","341,500","334,600","346,400","357,700","365,400","374,000","384,600","398,300","406,000","415,100","428,100","429,100","417,700","415,500","401,798","398,263","384,491","387,802","367,413","346,630","322,650","312,119","299,747","288,156","293,440","318,732","329,942","326,812","322,221","322,465","325,560","340,650","338,138","343,786","353,350","348,695","353,953","361,303","355,231","347,556","348,996","340,558","344,768","346,550","338,619","335,887","327,294","319,871"
Males,14,"426,500","401,200","368,900","351,000","341,600","330,500","335,900","343,600","336,200","347,800","357,300","366,000","374,200","384,900","398,600","406,800","416,100","429,000","430,400","419,000","416,496","400,649","397,326","383,732","387,358","368,297","347,010","322,908","312,206","300,576","288,721","293,415","318,765","330,191","327,193","322,733","322,490","326,192","341,501","338,459","344,339","351,455","348,342","353,310","361,873","354,790","348,327","350,333","342,367","347,043","348,506","340,292","337,499","329,404"
Males,15,"349,400","428,900","400,600","369,200","353,500","341,500","336,200","341,700","349,200","339,400","349,700","357,900","366,700","374,700","385,400","399,200","407,300","417,100","430,600","431,500","420,391","415,835","400,509","397,431","383,892","387,091","368,786","347,486","323,547","313,277","301,554","288,896","293,637","318,922","330,472","327,662","323,519","323,129","326,931","341,054","340,412","342,759","351,516","348,522","354,579","364,760","356,889","350,729","353,956","345,738","350,744","350,049","341,911","339,755"
Males,16,"344,400","350,800","431,000","401,600","371,000","354,000","345,000","335,000","343,200","348,500","337,500","348,300","357,100","366,300","373,600","384,600","398,500","407,800","417,600","430,700","432,690","421,930","417,514","401,835","398,837","385,235","387,686","370,429","349,364","326,454","316,478","301,281","288,692","293,407","318,817","330,569","328,165","323,904","323,812","327,416","344,276","340,872","342,047","351,533","349,556","357,122","367,614","359,075","353,967","358,232","349,391","352,304","351,534","344,125"
Males,17,"338,900","345,000","351,500","433,900","401,300","369,600","355,800","344,200","335,000","341,500","344,700","336,500","347,000","355,800","365,100","372,300","383,300","397,400","408,400","418,200","431,790","437,825","425,806","415,316","401,324","397,573","384,619","386,254","370,421","350,186","327,038","314,202","300,736","288,378","292,990","319,015","330,977","328,569","324,967","323,351","331,178","345,015","342,083","341,112","351,648","352,189","360,134","370,163","361,890","357,752","362,830","351,288","354,191","354,853"
Males,18,"323,500","339,300","338,700","345,200","429,900","392,300","367,400","352,200","341,900","332,200","341,200","345,700","335,900","346,300","356,900","366,400","373,000","383,700","398,800","409,500","418,691","432,042","435,094","418,478","414,057","399,691","396,239","383,053","384,251","370,634","349,944","323,829","310,882","296,809","284,599","288,257","313,044","324,290","322,572","317,002","321,734","334,022","348,203","344,427","341,392","355,625","356,040","363,162","374,527","366,877","363,483","365,013","353,039","357,965"
Males,19,"291,000","323,200","335,900","334,900","340,100","424,900","391,700","367,000","349,800","342,600","338,100","343,500","346,400","336,400","348,500","359,000","367,400","373,800","385,400","401,100","410,793","420,187","433,026","430,564","418,325","413,908","400,158","396,551","382,689","385,031","372,163","346,082","319,644","305,713","291,929","278,065","280,979","304,292","316,198","315,290","314,519","327,621","339,550","352,695","348,641","347,961","361,341","360,129","369,210","382,777","374,911","367,793","368,805","359,162"
Males,20,"276,300","294,400","321,000","335,200","333,400","341,900","425,500","389,800","366,100","354,100","347,400","340,000","344,600","347,000","338,100","350,500","360,700","368,400","375,000","387,600","402,799","409,620","419,417","430,490","429,404","416,862","413,057","399,252","395,719","383,003","383,487","371,128","348,503","323,803","312,489","300,513","289,399","294,544","315,346","327,634","326,366","317,079","329,009","343,435","356,820","351,999","352,192","363,396","361,547","377,378","391,614","379,105","371,910","375,776"
Males,21,"284,000","280,100","292,500","322,600","337,800","337,800","342,600","429,100","391,200","369,000","355,500","348,200","341,300","345,200","347,800","340,200","352,000","361,600","369,600","376,200","389,098","399,713","408,782","420,256","430,476","428,487","416,998","413,084","399,972","396,608","382,670","382,866","370,499","347,370","324,108","312,776","301,561","291,021","295,413","314,415","328,247","330,054","320,737","335,933","349,649","362,081","360,124","354,610","364,755","371,264","387,925","395,786","382,934","378,275"
Males,22,"288,100","286,300","277,900","294,000","325,000","339,800","339,400","343,000","432,500","393,100","369,600","356,400","348,700","341,800","345,300","349,200","341,800","351,500","363,000","370,900","378,399","383,466","398,272","409,094","419,703","428,461","427,114","415,704","412,522","399,759","395,386","381,827","382,462","369,772","348,386","324,954","313,722","303,354","293,684","297,357","317,041","333,455","334,337","330,817","345,101","356,323","371,861","365,381","355,441","375,503","382,973","392,853","399,816","389,014"
Males,23,"292,600","294,900","291,600","279,300","296,300","327,800","342,400","339,500","344,200","433,600","396,200","370,200","357,500","348,600","342,300","346,500","348,900","340,400","351,200","361,100","369,099","371,671","380,975","400,373","408,518","418,102","427,253","425,383","413,654","411,968","398,597","394,111","380,705","381,283","370,650","349,138","325,967","314,903","307,029","297,420","303,075","323,222","339,045","345,278","342,246","353,673","366,860","377,720","368,025","365,626","386,756","387,022","396,916","405,559"
Males,24,"292,000","300,700","299,700","297,900","281,600","299,900","329,800","343,400","340,100","344,300","435,200","396,800","369,600","357,600","347,800","341,900","345,800","347,900","339,900","350,100","356,999","362,296","368,588","383,086","400,643","407,278","416,933","425,466","422,760","414,861","410,699","397,213","392,443","379,101","381,628","370,881","349,550","326,503","318,488","310,979","304,482","308,981","329,083","350,813","356,763","352,170","365,413","372,506","380,328","379,524","375,340","389,328","389,408","400,763"
Males,25,"291,700","298,800","302,200","303,500","300,900","286,700","302,000","329,400","342,600","339,500","345,800","435,800","396,300","369,000","357,200","347,000","340,300","344,500","347,000","338,400","347,705","350,295","359,376","371,049","383,475","400,421","406,569","415,537","423,827","424,686","413,096","410,269","396,651","391,824","380,858","383,341","371,715","351,102","331,249","325,109","317,573","311,594","314,522","335,086","360,085","363,825","361,385","372,309","372,073","382,955","385,830","378,222","391,983","393,300"
Males,26,"289,200","295,900","298,700","302,100","302,700","303,400","286,700","300,000","328,500","342,800","340,700","345,000","434,300","395,500","368,700","356,900","345,800","338,900","343,700","344,500","335,804","342,118","348,163","361,119","370,905","382,668","400,041","405,024","414,145","423,778","421,976","412,078","409,172","396,082","393,641","382,103","383,767","372,633","355,029","336,914","331,340","323,600","317,014","319,456","344,005","367,605","372,470","369,315","373,041","374,388","388,744","387,569","380,756","395,587"
Males,27,"282,500","292,500","295,100","298,700","301,500","304,900","303,300","284,100","298,300","327,900","342,800","341,000","343,800","433,400","395,500","368,300","355,700","344,600","338,000","343,100","341,605","332,086","341,310","349,633","361,483","370,208","381,992","399,164","404,148","413,591","421,759","419,822","411,066","408,601","397,640","394,283","382,514","384,705","376,256","360,360","342,807","336,643","328,392","321,618","326,962","351,224","376,389","380,055","371,352","376,282","379,580","390,186","389,805","383,485"
Males,28,"287,300","285,500","290,700","294,800","298,000","303,400","304,600","301,700","281,500","296,700","326,300","342,100","340,400","342,600","433,300","394,700","366,700","354,800","344,100","336,300","340,805","338,222","331,744","342,657","349,800","360,945","369,536","380,784","398,475","403,784","412,151","418,678","417,763","410,491","410,299","399,112","394,354","383,046","387,723","380,973","365,262","348,022","341,242","332,623","329,247","333,402","360,047","384,633","382,088","375,988","382,535","380,237","391,796","392,176"
Males,29,"295,200","290,300","283,500","289,800","293,500","299,700","302,900","303,500","299,300","279,200","297,900","325,700","342,100","338,800","341,900","432,600","393,300","365,400","354,000","343,100","334,206","337,355","337,517","332,852","342,562","349,253","360,324","368,137","380,340","398,504","401,832","410,169","416,712","417,008","411,861","411,063","399,581","395,124","385,889","392,258","384,910","369,781","352,349","344,845","339,243","335,100","340,599","367,826","387,293","386,365","383,017","383,457","382,003","394,195"
Males,30,"302,200","299,100","288,400","283,700","289,400","297,300","300,400","302,900","302,400","297,700","279,800","297,700","325,600","341,000","337,900","341,100","431,300","392,100","365,300","352,300","341,119","330,887","336,284","338,411","333,123","342,373","348,986","359,730","368,292","379,493","398,020","399,833","408,229","415,220","417,567","412,975","411,501","399,717","397,314","389,667","395,591","385,184","370,562","353,321","347,723","341,378","336,893","345,684","373,022","388,308","388,036","382,785","384,615","383,515"
Males,31,"298,400","305,000","297,500","287,200","282,400","292,800","296,600","299,300","301,100","300,000","298,400","279,200","297,400","324,500","339,800","336,800","339,800","430,000","391,800","364,200","350,319","338,240","329,848","336,413","338,453","332,590","341,922","348,095","359,533","366,692","378,627","395,457","398,133","407,126","415,196","417,689","413,229","411,806","401,848","400,734","393,097","396,108","385,969","371,690","355,866","349,257","342,657","341,135","349,402","374,061","390,576","387,979","383,889","386,452"
